Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C6, C7",0603,5,1u,
"C11, C12, C13, C14",CP_Elec_10x10.5,4,150u,
C16,0603,1,2.2u,
"C17, C9",0603,2,820n,
C18,0402,1,100n,
"C19, C21, C8",0201,3,100p,
C2,0402,1,180p,
C20,0402,1,10p,
C3,0805,1,33n,
C4,CP_Elec_10x10.5,1,680u,
C5,0805,1,4.7u,
"D1, D2, D3",SOD3715X145N,3,1N5819HW-7-F,
D4,0603,1,LED,
F1,FUSC9830X318N,1,0678H9300-02,
J1,AMASS_XT60-M,1,XT60-M,
"J10, J11, J12, J13, J2, J3, J4, J5, J6, J7, J8, J9",CONN_PH1-01-UA_ADM,12,PH1-01-UA,
"J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25",WURTH_61300311121,12,61300311121,
"L1, L2",L_Pulse_PA4341,2,1.38u,
"Q1, Q2, Q3, Q4",DQG0008A,4,CSD17304Q3,
Q5,SOT-23_Handsoldering,1,2N7002,
Q6,IFX-PG-TTFN-9-2-V,1,IQDH29NE2LM5CG,
R1,0402,1,0,
R10,0603,1,226k,
"R11, R12, R14, R15",0402,4,3,
"R13, R22",0402,2,5.83k,
R17,2512,1,3m,
"R19, R21, R23, R24, R25, R26, R27",0402,7,10k,
R2,0402,1,22.6k,
R20,0402,1,4.81k,
R3,0603,1,2.49k,
R4,0402,1,1Meg,
R5,0603,1,5.3k,
R6,0603,1,140,
R7,0402,1,2k,
R8,0603,1,5.6k,
R9,0603,1,1.21k,
S1,SW_100SP1T1B4M2QE,1,100SP1T1B4M2QE,
U1,MXA20A_TEX-M,1,LM25116MHX/NOPB,
U2,SOT95P280X145-5N,1,TLV1701AIDBVR,
U3,SOT-23_Handsoldering,1,TL431DBZ,
