Designator,Mid X,Mid Y,Rotation,Layer
C1,152.437499,-76.125001,0.0,top
C10,148.627499,-76.125001,0.0,top
C11,160.02,-94.615,180.0,bottom
C12,151.765,-106.045,270.0,bottom
C13,139.7,-106.435,270.0,bottom
C14,127.68,-104.775,270.0,bottom
C15,126.395,-113.855,0.0,top
C16,138.8675,-113.855,0.0,top
C17,153.67,-113.855,0.0,top
C18,163.1275,-114.3,0.0,top
C19,132.715,-81.6102,90.0,top
C2,133.985,-78.74,270.0,top
C20,135.89,-83.5152,90.0,top
C21,143.2825,-71.12,180.0,top
C3,135.89,-78.74,270.0,top
C4,163.3125,-67.945,0.0,bottom
C5,142.277499,-67.870001,270.0,bottom
C6,139.065,-72.39,0.0,top
C7,135.89,-73.025,90.0,top
C8,135.255,-76.2,180.0,top
C9,147.357499,-72.950001,90.0,top
D1,139.065,-67.31,90.0,top
D2,133.985,-69.215,0.0,top
D3,149.262499,-72.315001,270.0,top
D4,170.975,-111.945,90.0,top
F1,142.875,-55.88,270.0,bottom
J1,154.305,-48.895,180.0,bottom
J10,132.715,-125.73,180.0,bottom
J11,137.16,-125.73,180.0,bottom
J12,141.605,-125.73,180.0,bottom
J13,146.05,-125.73,180.0,bottom
J14,172.72,-119.6125,90.0,bottom
J15,168.275,-119.6125,90.0,bottom
J16,163.83,-119.6125,90.0,bottom
J17,159.385,-119.6125,90.0,bottom
J18,154.94,-119.6125,90.0,bottom
J19,150.495,-119.6125,90.0,bottom
J2,172.6946,-125.73,180.0,bottom
J20,146.05,-119.6125,90.0,bottom
J21,141.605,-119.6125,90.0,bottom
J22,137.16,-119.6125,90.0,bottom
J23,132.715,-119.6125,90.0,bottom
J24,127.635,-119.6125,90.0,bottom
J25,123.19,-119.4225,90.0,bottom
J3,168.275,-125.73,180.0,bottom
J4,163.83,-125.73,180.0,bottom
J5,159.385,-125.73,180.0,bottom
J6,154.94,-125.73,180.0,bottom
J7,150.495,-125.73,180.0,bottom
J8,123.19,-125.73,180.0,bottom
J9,127.635,-125.73,180.0,bottom
L1,160.655,-77.47,180.0,bottom
L2,160.655,-85.450998,180.0,bottom
Q1,150.790001,-68.505001,90.0,bottom
Q2,145.792501,-68.505001,90.0,bottom
Q3,150.532499,-83.110001,270.0,bottom
Q4,154.305,-74.220001,90.0,bottom
Q5,128.27,-86.995,270.0,top
Q6,165.422875,-58.045,90.0,bottom
R1,142.24,-72.39,0.0,top
R10,135.255,-81.6102,0.0,top
R11,148.967501,-72.315001,90.0,bottom
R12,145.157501,-72.315001,270.0,bottom
R13,145.452499,-72.950001,180.0,top
R14,153.035,-80.645,270.0,bottom
R15,148.627499,-77.395001,180.0,bottom
R17,143.547499,-83.110001,180.0,bottom
R19,127.635,-94.615,0.0,top
R2,133.985,-72.39,0.0,top
R20,128.905,-96.52,0.0,top
R21,127.0,-91.44,90.0,top
R22,132.6075,-96.29,270.0,top
R23,160.02,-58.42,0.0,bottom
R24,151.13,-72.39,0.0,bottom
R25,147.32,-71.755,0.0,bottom
R26,154.94,-80.645,270.0,bottom
R27,150.495,-75.565,90.0,bottom
R3,133.35,-73.66,180.0,top
R4,130.175,-74.93,270.0,top
R5,132.08,-76.835,270.0,top
R6,173.99,-111.76,90.0,top
R7,172.085,-114.3,180.0,top
R8,133.35,-85.4502,0.0,top
R9,133.35,-83.5152,180.0,top
S1,124.8475,-76.455,0.0,bottom
U1,141.286899,-77.144999,0.0,top
U2,130.81,-92.075,180.0,top
U3,136.755,-96.2,180.0,top
