Designator,Mid X,Mid Y,Rotation,Layer
C1,152.437499,-76.125001,0.0,top
C10,148.627499,-76.125001,0.0,top
C11,160.02,-94.615,180.0,bottom
C12,151.765,-106.045,270.0,bottom
C13,139.7,-106.435,270.0,bottom
C14,127.68,-104.775,270.0,bottom
C15,126.395,-113.855,0.0,top
C16,138.8675,-113.855,0.0,top
C17,153.67,-113.855,0.0,top
C18,163.1275,-114.3,0.0,top
C19,132.715,-81.28,90.0,top
C2,133.985,-78.74,270.0,top
C20,135.89,-83.185,90.0,top
C21,143.2825,-71.12,180.0,top
C3,135.255,-78.105,270.0,top
C4,155.575,-62.865,0.0,bottom
C5,142.277499,-67.870001,270.0,bottom
C6,139.065,-72.39,0.0,top
C7,135.89,-73.025,90.0,top
C8,135.255,-76.2,270.0,top
C9,147.357499,-72.950001,90.0,top
D1,139.065,-67.31,90.0,top
D2,133.985,-69.215,0.0,top
D3,149.262499,-72.315001,270.0,top
D4,170.815,-111.76,90.0,top
F1,140.335,-57.15,270.0,bottom
J1,154.305,-48.895,180.0,bottom
J10,161.925,-125.73,0.0,bottom
J11,157.48,-125.73,0.0,bottom
J12,153.035,-125.73,0.0,bottom
J13,148.59,-125.73,0.0,bottom
J14,121.92,-119.6125,270.0,bottom
J15,126.365,-119.6125,270.0,bottom
J16,130.81,-119.6125,270.0,bottom
J17,135.255,-119.6125,270.0,bottom
J18,139.7,-119.6125,270.0,bottom
J19,144.145,-119.6125,270.0,bottom
J2,121.9454,-125.73,0.0,bottom
J20,148.59,-119.6125,270.0,bottom
J21,153.035,-119.6125,270.0,bottom
J22,157.48,-119.6125,270.0,bottom
J23,161.925,-119.6125,270.0,bottom
J24,167.005,-119.6125,270.0,bottom
J25,171.45,-119.8025,270.0,bottom
J3,126.365,-125.73,0.0,bottom
J4,130.81,-125.73,0.0,bottom
J5,135.255,-125.73,0.0,bottom
J6,139.7,-125.73,0.0,bottom
J7,144.145,-125.73,0.0,bottom
J8,171.45,-125.73,0.0,bottom
J9,167.005,-125.73,0.0,bottom
L1,158.826099,-77.300998,180.0,bottom
L2,158.826099,-85.450998,180.0,bottom
Q1,150.790001,-68.505001,90.0,bottom
Q2,145.792501,-68.505001,90.0,bottom
Q3,150.532499,-83.110001,270.0,bottom
Q4,152.136299,-74.220001,90.0,bottom
Q5,128.27,-86.995,270.0,top
Q6,165.422875,-58.045,90.0,bottom
R1,142.24,-72.39,0.0,top
R10,135.255,-81.28,0.0,top
R11,148.967501,-72.315001,90.0,bottom
R12,145.157501,-72.315001,270.0,bottom
R13,145.452499,-72.950001,180.0,top
R14,153.035,-80.645,270.0,bottom
R15,148.627499,-77.395001,180.0,bottom
R17,143.547499,-83.110001,180.0,bottom
R19,127.635,-94.615,0.0,top
R2,133.985,-72.39,0.0,top
R20,128.905,-96.52,0.0,top
R21,127.0,-91.44,90.0,top
R22,132.6075,-96.29,270.0,top
R23,160.02,-58.42,0.0,bottom
R3,133.985,-73.66,180.0,top
R4,130.175,-74.93,270.0,top
R5,132.08,-76.835,270.0,top
R6,173.99,-111.76,90.0,top
R7,172.085,-114.3,180.0,top
R8,133.35,-85.12,0.0,top
R9,133.35,-83.185,180.0,top
S1,124.8475,-76.455,0.0,bottom
U1,141.286899,-77.144999,0.0,top
U2,130.81,-92.075,180.0,top
U3,136.755,-96.2,180.0,top
